species	hmm_hits	tblastn_hits	status
Scutellaria_galericulata	12	332	PRESENT
Scutellaria_minor	12	352	PRESENT
Sedum_acre	10	266	PRESENT
Sedum_album	24	901	PRESENT
Senecio_squalidus	11	355	PRESENT
Senecio_sylvaticus	18	723	PRESENT
Senecio_viscosus	18	762	PRESENT
Senecio_vulgaris	21	766	PRESENT
Sherardia_arvensis	11	374	PRESENT
Sibbaldia_procumbens	13	360	PRESENT
Silene_acaulis	14	285	PRESENT
Silene_dioica	14	336	PRESENT
Silene_noctiflora	13	325	PRESENT
Solanum_dulcamara	14	399	PRESENT
Solanum_nigrum	37	1105	PRESENT
Solidago_canadensis	36	1098	PRESENT
Solidago_virgaurea	10	202	PRESENT
Sonchus_oleraceus	15	480	PRESENT
Sorbus_anglica	53	1432	PRESENT
Sorbus_bristoliensis	26	730	PRESENT
Sorbus_devoniensis	26	743	PRESENT
Southbya_tophacea	12	330	PRESENT
Sparganium_emersum	19	358	PRESENT
Sparganium_erectum	14	346	PRESENT
Spergula_arvensis	12	332	PRESENT
Spergularia_bocconei	26	646	PRESENT
Spergularia_marina	24	656	PRESENT
Sphagnum_capillifolium	20	484	PRESENT
Sphagnum_compactum	20	429	PRESENT
Sphagnum_contortum	19	470	PRESENT
Sphagnum_fallax	13	398	PRESENT
Sphagnum_girgensohnii	20	437	PRESENT
Sphagnum_lindbergii	13	368	PRESENT
Sphagnum_palustre	30	793	PRESENT
Sphagnum_papillosum	31	832	PRESENT
Sphagnum_riparium	20	455	PRESENT
Sphagnum_rubellum	18	455	PRESENT
Sphagnum_russowii	33	757	PRESENT
Sphagnum_squarrosum	18	455	PRESENT
Sphagnum_tenellum	15	393	PRESENT
Sphagnum_teres	18	454	PRESENT
Spinacia_oleracea	10	324	PRESENT
Spiraea_salicifolia	25	771	PRESENT
Splachnum_sphaericum	12	309	PRESENT
Stachys_alpina	12	274	PRESENT
Stereodon_callichrous	9	319	PRESENT
Straminergon_stramineum	9	354	PRESENT
Stuckenia_pectinata	20	494	PRESENT
Suaeda_maritima	26	629	PRESENT
Succisa_pratensis	22	644	PRESENT
Syntrichia_ruraliformis	11	310	PRESENT
Syringa_vulgaris	14	401	PRESENT
Tamarix_gallica	13	433	PRESENT
Tanacetum_parthenium	11	316	PRESENT
Tanacetum_vulgare	15	380	PRESENT
Tellima_grandiflora	23	475	PRESENT
Tephroseris_palustris	11	412	PRESENT
Tetraplodon_mnioides	10	219	PRESENT
Teucrium_botrys	13	376	PRESENT
Teucrium_scorodonia	12	338	PRESENT
Thalictrum_alpinum	12	328	PRESENT
Thalictrum_minus	38	1030	PRESENT
Thuidium_delicatulum	10	344	PRESENT
Thuidium_tamariscinum	10	344	PRESENT
Tilia_cordata	15	295	PRESENT
Torilis_japonica	12	361	PRESENT
Tortella_tortuosa	12	323	PRESENT
Tragopogon_porrifolius	10	382	PRESENT
Tragopogon_pratensis	10	85	PRESENT
Tricholepidozia_tetradactyla	14	315	PRESENT
Trichophorum_cespitosum	11	318	PRESENT
