# target name                  accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#          ------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               18      79 51262276 51262215 51262296 51262186 67730917    -       0.034   20.8   3.0  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               18      89 19685004 19684931 19685021 19684923 57862457    -       0.035   20.7   1.2  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               20      79 32774214 32774273 32774194 32774293 57862457    +       0.037   20.7   4.1  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               22     141 23435146 23435282 23435126 23435302 79235845    +       0.037   20.6   4.0  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               18      73 43410633 43410578 43410650 43410561 52377468    -       0.038   20.6   5.3  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               20      79 51829834 51829893 51829813 51829912 67732284    +       0.038   20.6   3.9  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               20      79 51835682 51835741 51835661 51835760 67732284    +       0.038   20.6   3.9  -
Scaffold_619_HRSCAF_3606_arrow -          all_tr_seqs          -               19      79 14371462 14371522 14371442 14371537 52901414    +       0.039   20.6   4.1  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               19      79 44661410 44661470 44661390 44661490 66732361    +       0.039   20.6   5.2  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               20      87 14937635 14937701 14937615 14937723 79235845    +        0.04   20.6   3.4  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               19      78 44650696 44650755 44650676 44650774 66732361    +        0.04   20.5   4.5  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               20      77 52049469 52049412 52049489 52049392 59398771    -       0.041   20.5   3.8  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               19      79  3855652  3855592  3855672  3855573 79235845    -       0.041   20.5   4.0  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               19      79  4073288  4073348  4073268  4073367 68525979    +       0.041   20.5   4.0  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               18      76 14653109 14653051 14653129 14653031 57862457    -       0.041   20.5   5.1  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               18      72 37295697 37295643 37295716 37295623 68525979    -       0.041   20.5   2.0  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               19      79 33838708 33838648 33838728 33838630 67730917    -       0.041   20.5   4.5  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               19      79   352519   352459   352539   352443 57862457    -       0.041   20.5   3.9  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               20      80   971003   971063   970988   971082 59398771    +       0.041   20.5   1.9  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               21      74 14890964 14891017 14890944 14891039 79235845    +       0.042   20.5   4.1  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               20      88 29651488 29651555 29651468 29651576 67732284    +       0.042   20.5   3.4  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               20      79 18852549 18852490 18852569 18852471 68525979    -       0.043   20.5   3.8  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               19      79 27111280 27111340 27111261 27111360 66732361    +       0.043   20.4   4.9  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               18      84 56271239 56271174 56271258 56271158 68525979    -       0.043   20.4   5.3  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               19      79 46910400 46910340 46910420 46910321 67732284    -       0.043   20.4   3.3  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               19      79 21776812 21776752 21776832 21776733 79235845    -       0.044   20.4   3.0  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               19      79 33709932 33709992 33709911 33710018 57862457    +       0.044   20.4   4.9  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               19      79 73286826 73286886 73286806 73286906 79235845    +       0.045   20.4   4.8  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               20      84  5794371  5794308  5794391  5794283 67732284    -       0.045   20.4   4.1  -
Scaffold_462_HRSCAF_1986_arrow -          all_tr_seqs          -               21      79  8767582  8767524  8767603  8767505 59385650    -       0.045   20.4   3.9  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               19      79 27798541 27798601 27798523 27798619 67732284    +       0.045   20.4   4.2  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               19      79 38103151 38103211 38103131 38103231 57862457    +       0.045   20.4   5.3  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               19      79 38109146 38109206 38109126 38109226 57862457    +       0.045   20.4   5.3  -
Scaffold_619_HRSCAF_3606_arrow -          all_tr_seqs          -               20      79 14726761 14726820 14726741 14726840 52901414    +       0.046   20.4   3.2  -
Scaffold_619_HRSCAF_3606_arrow -          all_tr_seqs          -               20      79 10066214 10066155 10066234 10066135 52901414    -       0.046   20.4   3.2  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               19      79  4067245  4067305  4067225  4067325 68525979    +       0.046   20.3   4.4  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               19      79 13442997 13442937 13443017 13442918 67730917    -       0.046   20.3   4.8  -
