# target name         accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
# ------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
HAP2_SUPER_1          -          all_tr_seqs          -                9      71  85963306  85963368  85963298  85963385 119203658    +        0.78   18.2   0.3  -
HAP2_SUPER_2          -          all_tr_seqs          -               10      71  41380671  41380732  41380662  41380753  91274010    +        0.78   18.2   0.6  -
HAP4_SUPER_2          -          all_tr_seqs          -               10      71  40401646  40401707  40401637  40401728  91246324    +        0.78   18.2   0.6  -
HAP2_SUPER_1          -          all_tr_seqs          -               10      72  12781318  12781380  12781309  12781400 119203658    +        0.83   18.1   1.0  -
HAP2_SUPER_3          -          all_tr_seqs          -               18     100  42507285  42507369  42507267  42507394  84295367    +        0.84   18.1   0.7  -
HAP2_SUPER_3          -          all_tr_seqs          -               11      73  34994856  34994794  34994866  34994771  84295367    -        0.86   18.1   0.5  -
HAP4_SUPER_3          -          all_tr_seqs          -               11      73  34879868  34879806  34879878  34879783  86209777    -        0.86   18.1   0.5  -
HAP3_SUPER_1          -          all_tr_seqs          -               10      71  12928214  12928275  12928205  12928296 117562012    +        0.88   18.0   0.8  -
HAP2_SUPER_1          -          all_tr_seqs          -               11      71  31198238  31198178  31198248  31198157 119203658    -        0.88   18.0   0.1  -
HAP4_SUPER_2          -          all_tr_seqs          -               10      71  65798383  65798322  65798392  65798301  91246324    -        0.88   18.0   2.9  -
HAP3_SUPER_3          -          all_tr_seqs          -               11      72  34945417  34945356  34945427  34945332  82926109    -        0.89   18.0   0.3  -
HAP2_SUPER_9          -          all_tr_seqs          -               11      71  26660147  26660087  26660157  26660066  79048219    -         0.9   18.0   0.6  -
HAP2_SUPER_9          -          all_tr_seqs          -               24      89  18910991  18910927  18911011  18910907  79048219    -         0.9   18.0   2.3  -
HAP2_SUPER_9          -          all_tr_seqs          -               93     180  21165809  21165692  21165831  21165689  79048219    -        0.91   18.0   1.3  -
